Close,Timestamp,High,Low,Open
17115.53,1669862400000,17115.54,17102.35,17105.21
17125.73,1669862700000,17134.15,17114.78,17114.78
17127.93,1669863000000,17127.93,17120.61,17123.51
17123.97,1669863300000,17128.39,17116.22,17121.33
17129.07,1669863600000,17134.30,17123.96,17123.96
17135.90,1669863900000,17137.80,17122.70,17122.70
17145.39,1669864200000,17145.49,17132.72,17135.90
17160.65,1669864500000,17167.21,17139.09,17141.14
17160.25,1669864800000,17166.60,17155.23,17164.25
17156.30,1669865100000,17160.24,17151.06,17160.24
17156.22,1669865400000,17158.29,17152.90,17158.29
17153.72,1669865700000,17156.82,17153.72,17156.25
17147.35,1669866000000,17150.15,17135.51,17147.15
17149.48,1669866300000,17154.62,17146.89,17147.04
17149.65,1669866600000,17157.38,17144.32,17144.32
17144.81,1669866900000,17153.27,17144.81,17153.27
17135.09,1669867200000,17148.85,17134.18,17148.74
17157.00,1669867500000,17157.00,17139.95,17143.59
